,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,lam3,threshold,record,evaluation
7,0.021668971876440755,0.029993618379068283,0.025160599571734475,0.8,0.2711165165349095,0.2823511723057016,0.27661982015761316,30,1.0,6391,record
7,0.023870220162224797,0.08633696563285834,0.0374001452432825,0.8,0.2187639751967374,0.503018365989666,0.30491823105560784,30,1.0,6100,record
7,0.04573170731707317,0.12998266897746968,0.06765899864682004,0.8,0.24249956210954768,0.5373228113622502,0.3341800668957828,30,1.0,6362,record
7,0.02581311306143521,0.10940919037199125,0.041771094402673355,0.8,0.1801506654924918,0.6143146102380582,0.27860043537933393,30,1.0,6245,record
7,0.03234937323089365,0.08188331627430911,0.0463768115942029,0.8,0.20273497436922924,0.45559742122820057,0.28060454607148844,30,1.0,6537,record
8,0.01,0.06332138590203107,0.017272282874368584,0.9,0.11841582512571168,0.5980238249145812,0.1976872292540246,30,1.0,6122,record
8,0.006915629322268326,0.009572431397574984,0.00802997858672377,0.9,0.2711165165349095,0.2823511723057016,0.27661982015761316,30,1.0,6391,record
8,0.007879490150637311,0.028499580888516344,0.01234567901234568,0.9,0.2187639751967374,0.503018365989666,0.30491823105560784,30,1.0,6100,record
8,0.016158536585365854,0.04592720970537262,0.02390617952187641,0.9,0.24249956210954768,0.5373228113622502,0.3341800668957828,30,1.0,6362,record
8,0.010325245224574084,0.0437636761487965,0.01670843776106934,0.9,0.1801506654924918,0.6143146102380582,0.27860043537933393,30,1.0,6245,record
8,0.010917913465426607,0.027635619242579325,0.015652173913043476,0.9,0.20273497436922924,0.45559742122820057,0.28060454607148844,30,1.0,6537,record
0,0.003367003367003367,0.010638297872340425,0.005115089514066496,0.1,0.002950901269243076,0.00652875009832455,0.0040646425073457395,30,3.0,6945,record
0,0.4746192893401015,0.42117117117117114,0.4463007159904534,0.1,0.43364393801749423,0.23464558082049408,0.30451662292213477,30,3.0,6990,record
0,0.08265497808390733,0.6439024390243903,0.14650388457269703,0.1,0.06813690918679197,0.432628691302243,0.11773165657574777,30,3.0,7184,record
0,0.2872200263504611,0.3978102189781022,0.33358837031369554,0.1,0.2311898833064792,0.22973448321870868,0.23045988550013083,30,3.0,6866,record
0,0.548469387755102,0.47513812154696133,0.5091770278271166,0.1,0.48804535084043393,0.3076217588448501,0.3773773413380618,30,3.0,7084,record
0,0.18547895057962172,0.6495726495726496,0.28856193640246797,0.1,0.15386328956015194,0.4309602545704124,0.22676570771945664,30,3.0,7227,record
1,0.003367003367003367,0.010638297872340425,0.005115089514066496,0.2,0.002950901269243076,0.00652875009832455,0.0040646425073457395,30,3.0,6945,record
1,0.46446700507614214,0.41216216216216217,0.43675417661097854,0.2,0.43364393801749423,0.23464558082049408,0.30451662292213477,30,3.0,6990,record
1,0.07701941139636818,0.6,0.1365149833518313,0.2,0.06813690918679197,0.432628691302243,0.11773165657574777,30,3.0,7184,record
1,0.28194993412384717,0.3905109489051095,0.3274674827850038,0.2,0.2311898833064792,0.22973448321870868,0.23045988550013083,30,3.0,6866,record
1,0.5357142857142857,0.46408839779005523,0.497335701598579,0.2,0.48804535084043393,0.3076217588448501,0.3773773413380618,30,3.0,7084,record
