,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record,evaluation,gold_standard
8,0.010574018126888218,0.06158357771260997,0.018048990116029222,0.9,0.1782207091343397,0.8823548496990737,0.2965444672220527,gold_standard_E1_01-02-0005,record,E1
0,0.09207161125319693,0.96,0.16802800466744455,0.1,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
1,0.09207161125319693,0.96,0.16802800466744455,0.2,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
2,0.09207161125319693,0.96,0.16802800466744455,0.3,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
3,0.08951406649616368,0.9333333333333333,0.16336056009334887,0.4,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
4,0.08184143222506395,0.8533333333333334,0.1493582263710619,0.5,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
5,0.06905370843989769,0.72,0.12602100350058343,0.6,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
6,0.04859335038363171,0.5066666666666667,0.08868144690781798,0.7,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
7,0.017902813299232736,0.18666666666666668,0.03267211201866978,0.8,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
8,0.00639386189258312,0.06666666666666667,0.011668611435239206,0.9,0.10756370788438516,0.8605096630750813,0.1912243695722403,gold_standard_E1_01-02-0006,record,E1
0,0.1960180137473335,0.9067982456140351,0.32235431689729094,0.1,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
1,0.19530694477364305,0.9035087719298246,0.321184954199961,0.2,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
2,0.1908035079402702,0.8826754385964912,0.31377899045020463,0.3,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
3,0.17847831239630244,0.8256578947368421,0.29351003702981876,0.4,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
4,0.14861341550130364,0.6875,0.24439680374196063,0.5,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
5,0.1076084380184878,0.49780701754385964,0.17696355486259988,0.6,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
6,0.06399620763214031,0.29605263157894735,0.10524264275969594,0.7,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
7,0.025598483052856127,0.11842105263157894,0.042097057103878385,0.8,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
8,0.007347712728134629,0.03399122807017544,0.012083414539076203,0.9,0.20561847861398752,0.847248877288604,0.3309249245478729,gold_standard_E1_01-02-0007,record,E1
0,0.27308946034045634,0.9262899262899262,0.42181818181818176,0.1,0.31618205838682145,0.8427591293192548,0.45984268927376626,gold_standard_E1_01-02-0009,record,E1
1,0.2716407098877218,0.9213759213759214,0.4195804195804196,0.2,0.31618205838682145,0.8427591293192548,0.45984268927376626,gold_standard_E1_01-02-0009,record,E1
2,0.2701919594349873,0.9164619164619164,0.41734265734265735,0.3,0.31618205838682145,0.8427591293192548,0.45984268927376626,gold_standard_E1_01-02-0009,record,E1
3,0.26186164433176384,0.8882063882063882,0.40447552447552443,0.4,0.31618205838682145,0.8427591293192548,0.45984268927376626,gold_standard_E1_01-02-0009,record,E1
4,0.23940601231437886,0.812039312039312,0.3697902097902098,0.5,0.31618205838682145,0.8427591293192548,0.45984268927376626,gold_standard_E1_01-02-0009,record,E1
5,0.19884099963781238,0.6744471744471745,0.30713286713286714,0.6,0.31618205838682145,0.8427591293192548,0.45984268927376626,gold_standard_E1_01-02-0009,record,E1
6,0.14016660630206446,0.47542997542997545,0.21650349650349648,0.7,0.31618205838682145,0.8427591293192548,0.45984268927376626,gold_standard_E1_01-02-0009,record,E1
