,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,lam3,threshold,record,evaluation,gold_standard
4,0.49697885196374625,0.6302681992337165,0.5557432432432432,0.5,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
5,0.45468277945619334,0.5766283524904214,0.5084459459459459,0.6,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
6,0.37990936555891236,0.4818007662835249,0.42483108108108103,0.7,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
7,0.26586102719033233,0.3371647509578544,0.29729729729729737,0.8,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
8,0.08157099697885196,0.10344827586206896,0.09121621621621621,0.9,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
0,0.5540417801998183,0.5842911877394636,0.5687645687645687,0.1,0.5111850433463273,0.5091421366700501,0.5101615448467104,45,2.5,01-02-0001,record,E1
1,0.553133514986376,0.5833333333333334,0.5678321678321678,0.2,0.5111850433463273,0.5091421366700501,0.5101615448467104,45,2.5,01-02-0001,record,E1
2,0.5513169845594914,0.5814176245210728,0.565967365967366,0.3,0.5111850433463273,0.5091421366700501,0.5101615448467104,45,2.5,01-02-0001,record,E1
3,0.5467756584922797,0.5766283524904214,0.5613053613053612,0.4,0.5111850433463273,0.5091421366700501,0.5101615448467104,45,2.5,01-02-0001,record,E1
4,0.5286103542234333,0.5574712643678161,0.5426573426573427,0.5,0.5111850433463273,0.5091421366700501,0.5101615448467104,45,2.5,01-02-0001,record,E1
5,0.4750227066303361,0.5009578544061303,0.48764568764568766,0.6,0.5111850433463273,0.5091421366700501,0.5101615448467104,45,2.5,01-02-0001,record,E1
6,0.3923705722070845,0.41379310344827586,0.4027972027972028,0.7,0.5111850433463273,0.5091421366700501,0.5101615448467104,45,2.5,01-02-0001,record,E1
