,precision,recall,f1,iou_th,lam3,threshold,record
5,0.2878625134264232,0.22370617696160267,0.25176139032409584,0.6,47,0.5,01-02-0005
6,0.19119226638023631,0.14858096828046743,0.16721465476749647,0.7,47,0.5,01-02-0005
7,0.1041890440386681,0.08096828046744574,0.09112259276655708,0.8,47,0.5,01-02-0005
8,0.036519871106337275,0.028380634390651086,0.03193987787693753,0.9,47,0.5,01-02-0005
0,0.43002257336343114,0.31803005008347246,0.36564299424184266,0.1,48,0.5,01-02-0005
1,0.43002257336343114,0.31803005008347246,0.36564299424184266,0.2,48,0.5,01-02-0005
2,0.4255079006772009,0.31469115191986646,0.36180422264875234,0.3,48,0.5,01-02-0005
3,0.4006772009029345,0.29632721202003337,0.3406909788867562,0.4,48,0.5,01-02-0005
4,0.34875846501128666,0.2579298831385643,0.2965451055662188,0.5,48,0.5,01-02-0005
5,0.28103837471783294,0.20784641068447413,0.23896353166986561,0.6,48,0.5,01-02-0005
6,0.18171557562076748,0.1343906510851419,0.15451055662188098,0.7,48,0.5,01-02-0005
7,0.09029345372460497,0.0667779632721202,0.07677543186180422,0.8,48,0.5,01-02-0005
8,0.033860045146726865,0.025041736227045076,0.02879078694817658,0.9,48,0.5,01-02-0005
0,0.3482889733840304,0.5471923536439666,0.4256505576208179,0.1,45,0.5,01-02-0006
1,0.3467680608365019,0.5448028673835126,0.4237918215613383,0.2,45,0.5,01-02-0006
2,0.3429657794676806,0.5388291517323776,0.4191449814126394,0.3,45,0.5,01-02-0006
3,0.33079847908745247,0.5197132616487455,0.404275092936803,0.4,45,0.5,01-02-0006
4,0.30190114068441065,0.4743130227001195,0.36895910780669144,0.5,45,0.5,01-02-0006
5,0.2585551330798479,0.4062126642771804,0.3159851301115241,0.6,45,0.5,01-02-0006
6,0.19315589353612167,0.3034647550776583,0.23605947955390336,0.7,45,0.5,01-02-0006
7,0.1155893536121673,0.1816009557945042,0.1412639405204461,0.8,45,0.5,01-02-0006
8,0.033460076045627375,0.052568697729988054,0.04089219330855018,0.9,45,0.5,01-02-0006
0,0.3520066889632107,0.5029868578255675,0.41416625676340385,0.1,46,0.5,01-02-0006
