,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,record,evaluation
6,0.16696848967765301,0.2772098616957306,0.20840867992766726,0.7,0.6098484405629017,0.5521451720177619,0.5795640672611568,01-02-0009,record
7,0.07931908728721478,0.13168971737823212,0.09900542495479205,0.8,0.6098484405629017,0.5521451720177619,0.5795640672611568,01-02-0009,record
8,0.018109380659181457,0.03006614552014432,0.022603978300180835,0.9,0.6098484405629017,0.5521451720177619,0.5795640672611568,01-02-0009,record
0,0.47525044195639365,0.8323013415892673,0.6050262565641411,0.1,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
1,0.4696523276370065,0.8224974200206399,0.5978994748687172,0.2,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
2,0.45020624631703005,0.7884416924664602,0.5731432858214554,0.3,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
3,0.41543901001767825,0.7275541795665634,0.5288822205551387,0.4,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
4,0.3550383028874484,0.6217750257997936,0.4519879969992498,0.5,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
5,0.2796110783736005,0.48968008255933954,0.35596399099774945,0.6,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
6,0.19563936358279316,0.34262125902992774,0.24906226556639158,0.7,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
7,0.09899823217442545,0.17337461300309598,0.12603150787696926,0.8,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
8,0.02592810842663524,0.04540763673890609,0.033008252063015754,0.9,0.5500519680536413,0.6114501749883537,0.5791282850985271,01-02-0010,record
0,0.48032564450474896,0.9206762028608583,0.6312973695942934,0.1,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
1,0.4765943012211669,0.9135240572171651,0.6263932233615693,0.2,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
2,0.4569199457259159,0.8758127438231469,0.6005349977708426,0.3,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
3,0.4151967435549525,0.7958387516254877,0.545697726259474,0.4,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
4,0.3582089552238806,0.6866059817945384,0.47079803834150685,0.5,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
5,0.2774762550881954,0.5318595578673602,0.36469014712438697,0.6,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
6,0.18860244233378562,0.36150845253576075,0.24788230049041465,0.7,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
7,0.09701492537313433,0.1859557867360208,0.1275078020508248,0.8,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
8,0.026797829036635006,0.05136540962288687,0.03522068658047258,0.9,0.587458578174282,0.6539068323357768,0.6189042722313091,01-02-0011,record
0,0.19692814042786616,0.9005016722408027,0.3231807951987997,0.1,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
1,0.19473395501919913,0.8904682274247492,0.31957989497374345,0.2,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
2,0.18778570122508687,0.8586956521739131,0.3081770442610653,0.3,0.276144411983453,0.7541345737718411,0.40425952836056267,01-02-0012,record
